Ponto / Grupo;Data;Hora;Ativa C (kWh)
PEVVGNTR1--03 (L);01/01/2024;1;6.262,60
PEVVGNTR1--03 (L);01/01/2024;2;6.276,49
PEVVGNTR1--03 (L);01/01/2024;3;6.119,39
PEVVGNTR1--03 (L);01/01/2024;4;6.037,37
PEVVGNTR1--03 (L);01/01/2024;5;6.039,19
PEVVGNTR1--03 (L);01/01/2024;6;6.000,01
PEVVGNTR1--03 (L);01/01/2024;7;6.001,33
PEVVGNTR1--03 (L);01/01/2024;8;5.957,29
PEVVGNTR1--03 (L);01/01/2024;9;5.948,75
PEVVGNTR1--03 (L);01/01/2024;10;6.117,21
PEVVGNTR1--03 (L);01/01/2024;11;6.294,73
PEVVGNTR1--03 (L);01/01/2024;12;6.277,45
PEVVGNTR1--03 (L);01/01/2024;13;6.147,22
PEVVGNTR1--03 (L);01/01/2024;14;6.125,65
PEVVGNTR1--03 (L);01/01/2024;15;6.098,24
PEVVGNTR1--03 (L);01/01/2024;16;6.091,00
PEVVGNTR1--03 (L);01/01/2024;17;6.130,39
PEVVGNTR1--03 (L);01/01/2024;18;6.228,27
PEVVGNTR1--03 (L);01/01/2024;19;6.028,23
PEVVGNTR1--03 (L);01/01/2024;20;5.960,46
PEVVGNTR1--03 (L);01/01/2024;21;6.234,21
PEVVGNTR1--03 (L);01/01/2024;22;6.204,08
PEVVGNTR1--03 (L);01/01/2024;23;5.915,58
PEVVGNTR1--03 (L);01/01/2024;24;6.079,78
PEVVGNTR1--03 (L);02/01/2024;1;6.124,05
PEVVGNTR1--03 (L);02/01/2024;2;5.907,45
PEVVGNTR1--03 (L);02/01/2024;3;5.891,67
PEVVGNTR1--03 (L);02/01/2024;4;5.860,55
PEVVGNTR1--03 (L);02/01/2024;5;5.896,72
PEVVGNTR1--03 (L);02/01/2024;6;5.967,67
PEVVGNTR1--03 (L);02/01/2024;7;5.891,59
PEVVGNTR1--03 (L);02/01/2024;8;5.970,68
PEVVGNTR1--03 (L);02/01/2024;9;5.979,78
PEVVGNTR1--03 (L);02/01/2024;10;6.342,10
PEVVGNTR1--03 (L);02/01/2024;11;6.092,62
PEVVGNTR1--03 (L);02/01/2024;12;5.151,61
PEVVGNTR1--03 (L);02/01/2024;13;4.570,40
PEVVGNTR1--03 (L);02/01/2024;14;4.534,87
PEVVGNTR1--03 (L);02/01/2024;15;4.529,82
PEVVGNTR1--03 (L);02/01/2024;16;4.525,66
PEVVGNTR1--03 (L);02/01/2024;17;4.501,87
PEVVGNTR1--03 (L);02/01/2024;18;4.571,08
PEVVGNTR1--03 (L);02/01/2024;19;4.431,70
PEVVGNTR1--03 (L);02/01/2024;20;4.568,96
PEVVGNTR1--03 (L);02/01/2024;21;4.610,30
PEVVGNTR1--03 (L);02/01/2024;22;4.323,50
PEVVGNTR1--03 (L);02/01/2024;23;4.289,97
PEVVGNTR1--03 (L);02/01/2024;24;4.581,06
PEVVGNTR1--03 (L);03/01/2024;1;4.279,64
PEVVGNTR1--03 (L);03/01/2024;2;4.222,97
PEVVGNTR1--03 (L);03/01/2024;3;4.538,97
PEVVGNTR1--03 (L);03/01/2024;4;4.569,98
PEVVGNTR1--03 (L);03/01/2024;5;4.512,05
PEVVGNTR1--03 (L);03/01/2024;6;4.464,98
PEVVGNTR1--03 (L);03/01/2024;7;4.961,06
PEVVGNTR1--03 (L);03/01/2024;8;5.765,50
PEVVGNTR1--03 (L);03/01/2024;9;5.900,37
PEVVGNTR1--03 (L);03/01/2024;10;6.273,30
PEVVGNTR1--03 (L);03/01/2024;11;6.403,72
PEVVGNTR1--03 (L);03/01/2024;12;6.520,04
PEVVGNTR1--03 (L);03/01/2024;13;6.778,84
PEVVGNTR1--03 (L);03/01/2024;14;6.629,98
PEVVGNTR1--03 (L);03/01/2024;15;6.589,37
PEVVGNTR1--03 (L);03/01/2024;16;6.633,71
