datetime,predicted_consumo
2024-01-01,6.4094462
2024-01-02,4.8117723
2024-01-03,5.129267
2024-01-04,5.423571
2024-01-05,5.33841
2024-01-06,5.4106174
2024-01-07,5.342993
2024-01-08,5.019818
2024-01-09,6.6438813
2024-01-10,5.174287
2024-01-11,6.7394104
2024-01-12,6.719199
2024-01-13,6.6506987
2024-01-14,6.696524
2024-01-15,4.716193
2024-01-16,4.9905543
2024-01-17,4.6723785
2024-01-18,5.138274
2024-01-19,6.6546655
2024-01-20,6.6358914
2024-01-21,6.642969
2024-01-22,6.653806
2024-01-23,6.6841187
2024-01-24,7.166168
2024-01-25,6.9929366
2024-01-26,6.7256613
2024-01-27,6.8625093
2024-01-28,6.8934736
2024-01-29,5.6405125
2024-01-30,6.903369
2024-01-31,7.027349
2024-02-01,6.861158
2024-02-02,6.601838
2024-02-03,6.713692
2024-02-04,6.830187
2024-02-05,7.1693254
2024-02-06,7.1053324
2024-02-07,7.254107
2024-02-08,7.118225
2024-02-09,7.2900662
2024-02-10,7.108254
2024-02-11,7.171539
2024-02-12,7.1514506
2024-02-13,7.143559
2024-02-14,7.238108
2024-02-15,7.047204
2024-02-16,7.0265617
2024-02-17,7.1445594
2024-02-18,6.976644
2024-02-19,6.977999
2024-02-20,6.9724116
2024-02-21,7.2166576
2024-02-22,7.201672
2024-02-23,7.174348
2024-02-24,7.174833
2024-02-25,7.0945797
2024-02-26,6.8308535
2024-02-27,6.984624
2024-02-28,7.351985
2024-02-29,7.283197
2024-03-01,6.6248636
2024-03-02,6.283476
2024-03-03,6.463349
2024-03-04,6.568987
2024-03-05,6.5439143
2024-03-06,6.719905
2024-03-07,6.8319035
2024-03-08,6.7526402
2024-03-09,6.904167
2024-03-10,6.697559
2024-03-11,6.7130837
2024-03-12,6.702361
2024-03-13,6.763373
2024-03-14,6.8727984
2024-03-15,6.566082
2024-03-16,6.3569975
2024-03-17,6.6198373
2024-03-18,6.481873
2024-03-19,6.3939104
2024-03-20,6.583364
2024-03-21,6.5850363
2024-03-22,6.58631
2024-03-23,6.5385723
2024-03-24,6.4819756
2024-03-25,5.005725
2024-03-26,4.9559536
2024-03-27,7.841869
2024-03-28,7.79086
2024-03-29,7.8467374
2024-03-30,7.6232057
2024-03-31,7.7395377
2024-04-01,7.660017
2024-04-02,7.437826
2024-04-03,7.6026497
2024-04-04,7.3704658
2024-04-05,7.693298
2024-04-06,7.669997
2024-04-07,7.6725855
2024-04-08,7.6630177
2024-04-09,7.7732377
2024-04-10,7.5892
2024-04-11,7.568624
2024-04-12,7.775708
2024-04-13,7.6977773
2024-04-14,7.700546
2024-04-15,7.376327
2024-04-16,7.439001
2024-04-17,7.4984193
2024-04-18,7.4327374
2024-04-19,7.5588655
2024-04-20,7.506231
2024-04-21,7.669843
2024-04-22,7.7379394
2024-04-23,7.6581044
2024-04-24,7.711018
2024-04-25,7.7361736
2024-04-26,7.5312386
2024-04-27,7.606172
2024-04-28,7.617683
2024-04-29,7.7364664
2024-04-30,7.625935
2024-05-01,7.6576033
2024-05-02,7.5349298
2024-05-03,7.6275377
2024-05-04,7.6226873
2024-05-05,7.603287
2024-05-06,7.6636777
2024-05-07,7.6437755
2024-05-08,7.6647224
2024-05-09,7.8964643
2024-05-10,7.6559186
2024-05-11,7.6187944
2024-05-12,7.6467886
2024-05-13,7.664934
2024-05-14,6.5454364
2024-05-15,6.555157
2024-05-16,6.456754
2024-05-17,6.60605
2024-05-18,6.470334
2024-05-19,6.402641
2024-05-20,6.4283237
2024-05-21,6.0778437
2024-05-22,6.24362
2024-05-23,6.250624
2024-05-24,6.438608
2024-05-25,6.36306
2024-05-26,6.116745
2024-05-27,6.062159
2024-05-28,6.089895
2024-05-29,6.1367483
2024-05-30,6.13138
2024-05-31,6.259059
2024-06-01,6.1342196
2024-06-02,5.859157
2024-06-03,6.3983636
