datetime,predicted_consumo
2024-01-01,6.176508
2024-01-02,4.99614
2024-01-03,5.290127
2024-01-04,5.3721213
2024-01-05,5.351738
2024-01-06,5.2362146
2024-01-07,5.1566615
2024-01-08,5.076602
2024-01-09,6.89953
2024-01-10,5.1331534
2024-01-11,7.068767
2024-01-12,6.991246
2024-01-13,7.063631
2024-01-14,6.8240185
2024-01-15,4.635109
2024-01-16,4.8602977
2024-01-17,4.6371193
2024-01-18,4.7912364
2024-01-19,7.0749893
2024-01-20,6.8638735
2024-01-21,6.8156314
2024-01-22,6.4578996
2024-01-23,6.9503107
2024-01-24,7.336291
2024-01-25,7.148147
2024-01-26,6.8891735
2024-01-27,6.7330785
2024-01-28,6.6696544
2024-01-29,7.4481206
2024-01-30,7.0985284
2024-01-31,7.0755115
2024-02-01,6.9361496
2024-02-02,7.079143
2024-02-03,6.8985033
2024-02-04,6.96963
2024-02-05,7.2890515
2024-02-06,7.2994676
2024-02-07,7.00566
2024-02-08,7.0751038
2024-02-09,6.714189
2024-02-10,7.091172
2024-02-11,7.1916137
2024-02-12,7.340803
2024-02-13,7.152417
2024-02-14,7.272313
2024-02-15,6.9827795
2024-02-16,7.102584
2024-02-17,7.198522
2024-02-18,7.0920367
2024-02-19,6.8611073
2024-02-20,6.8352714
2024-02-21,7.2064342
2024-02-22,7.3529525
2024-02-23,7.2483397
2024-02-24,7.4418283
2024-02-25,7.1881394
2024-02-26,7.0519395
2024-02-27,6.6961856
2024-02-28,7.237493
2024-02-29,7.4794607
2024-03-01,6.2220354
2024-03-02,5.604152
2024-03-03,5.931033
2024-03-04,6.807134
2024-03-05,6.951272
2024-03-06,6.955135
2024-03-07,6.745675
2024-03-08,6.6399217
2024-03-09,6.746255
2024-03-10,6.755986
2024-03-11,6.728499
2024-03-12,6.756665
2024-03-13,6.982068
2024-03-14,6.908059
2024-03-15,5.9287653
2024-03-16,5.652356
2024-03-17,5.4016232
2024-03-18,6.577398
2024-03-19,6.944121
2024-03-20,6.8075337
2024-03-21,6.7198486
2024-03-22,6.4321184
2024-03-23,6.792418
2024-03-24,6.987767
2024-03-25,5.094399
2024-03-26,5.0699325
2024-03-27,8.263383
2024-03-28,7.9184127
2024-03-29,8.254397
2024-03-30,8.285414
2024-03-31,8.328188
2024-04-01,8.044584
2024-04-02,8.345309
2024-04-03,7.913723
2024-04-04,7.84546
2024-04-05,7.982302
2024-04-06,7.9366527
2024-04-07,7.9866524
2024-04-08,7.6808014
2024-04-09,7.9862385
2024-04-10,7.9218454
2024-04-11,7.9832
2024-04-12,8.013919
2024-04-13,7.9599953
2024-04-14,8.012608
2024-04-15,7.7580624
2024-04-16,7.952864
2024-04-17,7.9455476
2024-04-18,7.934789
2024-04-19,8.014212
2024-04-20,7.741762
2024-04-21,8.013556
2024-04-22,7.7584467
2024-04-23,8.298258
2024-04-24,8.231344
2024-04-25,8.015726
2024-04-26,8.298258
2024-04-27,7.965427
2024-04-28,7.7417207
2024-04-29,7.7584467
2024-04-30,7.8925085
2024-05-01,7.9455695
2024-05-02,8.01222
2024-05-03,8.014212
2024-05-04,7.821218
2024-05-05,8.012608
2024-05-06,7.7637734
2024-05-07,8.016558
2024-05-08,7.9455695
2024-05-09,8.016532
2024-05-10,8.028159
2024-05-11,7.958642
2024-05-12,8.013412
2024-05-13,7.7580843
2024-05-14,7.187698
2024-05-15,6.160594
2024-05-16,6.3594885
2024-05-17,5.901628
2024-05-18,6.8888707
2024-05-19,7.18129
2024-05-20,6.757373
2024-05-21,6.528014
2024-05-22,6.483027
2024-05-23,6.8572044
2024-05-24,6.9980474
2024-05-25,6.9439073
2024-05-26,6.737922
2024-05-27,6.7585025
2024-05-28,6.6137714
2024-05-29,6.8328
2024-05-30,6.8297043
2024-05-31,6.8685246
2024-06-01,6.2470164
2024-06-02,5.5932145
2024-06-03,5.928478
2024-06-04,6.9244556
2024-06-05,6.978137
2024-06-06,6.7447643
2024-06-07,6.745157
2024-06-08,6.6169515
2024-06-09,6.742029
2024-06-10,6.7270894
2024-06-11,6.9530387
2024-06-12,6.9810257
2024-06-13,6.9821115
2024-06-14,6.895774
2024-06-15,5.9034486
2024-06-16,5.582472
2024-06-17,5.3128676
2024-06-18,6.38273
2024-06-19,6.8901124
2024-06-20,6.779715
2024-06-21,6.7699866
2024-06-22,6.5117035
2024-06-23,6.82079
2024-06-24,6.9352493
2024-06-25,6.6692033
2024-06-26,6.7058926
2024-06-27,6.810775
2024-06-28,6.856306
2024-06-29,6.916548
2024-06-30,6.8440566
2024-07-01,6.102327
2024-07-02,5.330511
2024-07-03,5.9223113
2024-07-04,6.8697424
2024-07-05,6.878888
2024-07-06,6.920229
