datetime,predicted_consumo
2024-01-01,5.9657035
2024-01-02,5.8534336
2024-01-03,5.5789595
2024-01-04,5.149488
2024-01-05,5.1556053
2024-01-06,5.108245
2024-01-07,5.206839
2024-01-08,5.335305
2024-01-09,5.954891
2024-01-10,6.327388
2024-01-11,6.2733135
2024-01-12,6.340848
2024-01-13,6.3500876
2024-01-14,6.300757
2024-01-15,5.8436956
2024-01-16,4.9880548
2024-01-17,4.9328265
2024-01-18,4.8608236
2024-01-19,5.43791
2024-01-20,5.6294127
2024-01-21,5.735992
2024-01-22,5.582241
2024-01-23,5.481222
2024-01-24,5.8604717
2024-01-25,5.9308596
2024-01-26,5.7914596
2024-01-27,5.7444544
2024-01-28,5.879332
2024-01-29,6.0628552
2024-01-30,6.272538
2024-01-31,6.535989
2024-02-01,6.948617
2024-02-02,7.0135655
2024-02-03,6.9908814
2024-02-04,6.858586
2024-02-05,6.536881
2024-02-06,6.887917
2024-02-07,6.811425
2024-02-08,6.7905235
2024-02-09,6.71498
2024-02-10,6.7199817
2024-02-11,6.6485953
2024-02-12,6.8550425
2024-02-13,6.6265144
2024-02-14,6.79189
2024-02-15,6.81931
2024-02-16,6.4649034
2024-02-17,5.909696
2024-02-18,5.585672
2024-02-19,6.0109262
2024-02-20,6.0974236
2024-02-21,6.1902094
2024-02-22,6.0672717
2024-02-23,6.2815714
2024-02-24,6.353578
2024-02-25,6.4876413
2024-02-26,6.519494
2024-02-27,6.377427
2024-02-28,6.339644
2024-02-29,6.231829
2024-03-01,5.9424005
2024-03-02,5.4650345
2024-03-03,5.6832314
2024-03-04,5.507815
2024-03-05,5.54227
2024-03-06,5.628328
2024-03-07,5.782067
2024-03-08,5.835951
2024-03-09,5.7487464
2024-03-10,5.7994814
2024-03-11,5.8308506
2024-03-12,5.972053
2024-03-13,6.5115366
2024-03-14,6.3100743
2024-03-15,6.3950653
2024-03-16,6.250703
2024-03-17,6.3173833
2024-03-18,6.3565946
2024-03-19,6.0627418
2024-03-20,6.1773133
2024-03-21,6.1080847
2024-03-22,5.934649
2024-03-23,5.395394
2024-03-24,5.7165027
2024-03-25,5.2579036
2024-03-26,5.1968803
2024-03-27,7.292776
2024-03-28,8.380503
2024-03-29,7.7974396
2024-03-30,7.866396
2024-03-31,7.6718707
2024-04-01,7.758882
2024-04-02,7.819436
2024-04-03,7.719866
2024-04-04,7.3463645
2024-04-05,7.397969
2024-04-06,8.027488
2024-04-07,7.9610476
2024-04-08,7.5167327
2024-04-09,7.3477507
2024-04-10,7.777913
2024-04-11,7.9064875
2024-04-12,7.757618
2024-04-13,7.508612
2024-04-14,7.4187026
2024-04-15,8.577003
2024-04-16,7.648178
2024-04-17,7.634017
2024-04-18,7.6354976
2024-04-19,7.194051
2024-04-20,8.135245
2024-04-21,8.029773
2024-04-22,7.600218
2024-04-23,8.337415
2024-04-24,8.09459
2024-04-25,8.257603
2024-04-26,7.9771023
2024-04-27,7.982706
2024-04-28,7.7742205
2024-04-29,7.822409
2024-04-30,8.089016
2024-05-01,7.6066513
2024-05-02,7.935315
2024-05-03,7.555235
2024-05-04,7.5561857
2024-05-05,8.132397
2024-05-06,7.726427
2024-05-07,7.5390406
2024-05-08,8.306044
2024-05-09,7.3592267
2024-05-10,8.312866
2024-05-11,8.244298
2024-05-12,7.4246283
2024-05-13,8.446144
2024-05-14,7.6564546
2024-05-15,7.2220607
2024-05-16,7.416597
2024-05-17,7.254771
2024-05-18,7.286808
2024-05-19,8.206936
2024-05-20,7.209847
2024-05-21,6.747126
2024-05-22,6.83647
2024-05-23,6.699712
2024-05-24,6.6564693
2024-05-25,6.746112
2024-05-26,6.2719297
2024-05-27,5.877781
2024-05-28,5.5984974
2024-05-29,5.744912
2024-05-30,5.410026
2024-05-31,5.5853767
2024-06-01,5.2485347
2024-06-02,5.634415
2024-06-03,5.9076605
2024-06-04,5.791117
2024-06-05,5.8625174
2024-06-06,5.7981033
2024-06-07,5.844619
2024-06-08,5.7633543
2024-06-09,5.8044186
2024-06-10,5.85033
2024-06-11,5.8400726
2024-06-12,5.9445124
2024-06-13,5.8298235
2024-06-14,5.881898
2024-06-15,5.655125
2024-06-16,5.486838
2024-06-17,5.5249333
2024-06-18,5.6323256
2024-06-19,5.776526
2024-06-20,5.7866635
2024-06-21,5.8144717
2024-06-22,5.5950036
2024-06-23,5.604788
2024-06-24,5.608415
2024-06-25,5.801153
2024-06-26,5.739749
2024-06-27,5.678114
2024-06-28,5.7642384
2024-06-29,5.689049
2024-06-30,5.5902085
2024-07-01,5.5733223
2024-07-02,5.5871177
2024-07-03,5.60938
2024-07-04,5.563271
2024-07-05,5.5257874
2024-07-06,5.430673
2024-07-07,5.672027
2024-07-08,5.5680404
2024-07-09,5.57601
2024-07-10,5.6126757
2024-07-11,5.5585
2024-07-12,5.7254224
2024-07-13,5.4632416
2024-07-14,5.6613636
2024-07-15,6.5583415
2024-07-16,7.406958
2024-07-17,6.5537667
2024-07-18,6.6013103
2024-07-19,6.8800144
2024-07-20,6.9612103
2024-07-21,6.679182
2024-07-22,6.6684437
2024-07-23,6.4878683
2024-07-24,5.938823
2024-07-25,5.5700307
2024-07-26,5.495668
