datetime,predicted_consumo
2024-01-01,6.3149962
2024-01-02,4.972981
2024-01-03,5.3481994
2024-01-04,5.5033655
2024-01-05,5.614134
2024-01-06,5.6206636
2024-01-07,5.529149
2024-01-08,5.0679765
2024-01-09,6.28826
2024-01-10,5.31243
2024-01-11,6.1206775
2024-01-12,6.1527205
2024-01-13,6.0682216
2024-01-14,6.4454684
2024-01-15,4.8636303
2024-01-16,5.2400703
2024-01-17,4.7185307
2024-01-18,4.796339
2024-01-19,6.1906395
2024-01-20,6.3439307
2024-01-21,6.3047404
2024-01-22,6.4341416
2024-01-23,6.433548
2024-01-24,6.4790735
2024-01-25,6.177823
2024-01-26,6.0945587
2024-01-27,6.289477
2024-01-28,6.17615
2024-01-29,4.9606028
2024-01-30,6.1535215
2024-01-31,6.2730556
2024-02-01,6.214485
2024-02-02,6.359537
2024-02-03,6.3147497
2024-02-04,6.201161
2024-02-05,6.444006
2024-02-06,6.5728965
2024-02-07,6.5607996
2024-02-08,6.35628
2024-02-09,6.674621
2024-02-10,6.4770317
2024-02-11,6.325846
2024-02-12,6.385174
2024-02-13,6.515071
2024-02-14,6.67122
2024-02-15,6.570365
2024-02-16,6.3965983
2024-02-17,6.4686255
2024-02-18,6.34404
2024-02-19,6.3483386
2024-02-20,6.4885526
2024-02-21,6.473201
2024-02-22,6.4611335
2024-02-23,6.4823008
2024-02-24,6.409552
2024-02-25,6.4642873
2024-02-26,6.320277
2024-02-27,6.6362567
2024-02-28,6.197967
2024-02-29,6.1005983
2024-03-01,5.9425964
2024-03-02,6.0162144
2024-03-03,6.0465446
2024-03-04,6.0822616
2024-03-05,6.130987
2024-03-06,6.212785
2024-03-07,6.3163624
2024-03-08,6.025116
2024-03-09,6.3531423
2024-03-10,6.1083827
2024-03-11,6.118248
2024-03-12,6.2398696
2024-03-13,6.197766
2024-03-14,6.441695
2024-03-15,6.225764
2024-03-16,6.190485
2024-03-17,5.9730506
2024-03-18,5.9354525
2024-03-19,5.853289
2024-03-20,6.0239887
2024-03-21,6.256731
2024-03-22,6.2545238
2024-03-23,6.188886
2024-03-24,6.1483355
2024-03-25,4.555511
2024-03-26,4.597631
2024-03-27,7.6091437
2024-03-28,7.7662325
2024-03-29,7.6099277
2024-03-30,7.58956
2024-03-31,7.663397
2024-04-01,8.127371
2024-04-02,8.267395
2024-04-03,7.8959594
2024-04-04,7.4801035
2024-04-05,7.6452913
2024-04-06,7.829549
2024-04-07,7.68979
2024-04-08,7.476785
2024-04-09,7.921751
2024-04-10,7.7986035
2024-04-11,7.756283
2024-04-12,7.6901116
2024-04-13,7.8026586
2024-04-14,7.8195896
2024-04-15,7.5055366
2024-04-16,7.7138305
2024-04-17,7.4892693
2024-04-18,7.3261404
2024-04-19,7.4758315
2024-04-20,7.673636
2024-04-21,7.596759
2024-04-22,7.5975614
2024-04-23,8.0838995
2024-04-24,8.200152
2024-04-25,8.067784
2024-04-26,7.9149666
2024-04-27,7.742871
2024-04-28,7.635954
2024-04-29,7.624579
2024-04-30,7.653198
2024-05-01,7.729813
2024-05-02,7.9223065
2024-05-03,7.8196445
2024-05-04,7.810672
2024-05-05,7.6108594
2024-05-06,7.730306
2024-05-07,7.9019938
2024-05-08,7.6647134
2024-05-09,8.056985
2024-05-10,7.749218
2024-05-11,7.710035
2024-05-12,7.6114697
2024-05-13,7.660864
2024-05-14,6.8115563
2024-05-15,6.616122
2024-05-16,6.525792
2024-05-17,6.531911
2024-05-18,6.589173
2024-05-19,6.0383472
2024-05-20,6.260271
2024-05-21,6.0955997
2024-05-22,6.092383
2024-05-23,5.9694386
2024-05-24,5.9404864
2024-05-25,5.9129963
2024-05-26,5.786551
2024-05-27,6.053051
2024-05-28,6.1073194
2024-05-29,5.929452
2024-05-30,5.6901793
2024-05-31,6.022626
2024-06-01,5.9324894
2024-06-02,6.108333
2024-06-03,6.1730866
2024-06-04,6.2218533
2024-06-05,6.3174586
2024-06-06,6.450837
2024-06-07,6.414298
2024-06-08,6.2015142
2024-06-09,6.4291663
2024-06-10,6.304777
2024-06-11,6.1342664
2024-06-12,6.291806
2024-06-13,6.257174
2024-06-14,6.52918
2024-06-15,6.0882254
2024-06-16,6.042747
2024-06-17,5.897752
2024-06-18,5.869193
2024-06-19,5.8550715
2024-06-20,6.0029693
2024-06-21,6.0529394
2024-06-22,5.9799914
2024-06-23,6.0108805
2024-06-24,6.0077252
2024-06-25,5.8694024
2024-06-26,5.7896247
2024-06-27,5.8989587
2024-06-28,6.064659
2024-06-29,5.9592776
2024-06-30,5.8738394
2024-07-01,6.185017
2024-07-02,6.328657
2024-07-03,6.309876
2024-07-04,6.2729135
2024-07-05,6.228641
2024-07-06,6.168953
2024-07-07,6.1638455
2024-07-08,6.0646
2024-07-09,6.277516
2024-07-10,6.220782
2024-07-11,6.195592
2024-07-12,6.1899066
2024-07-13,6.153934
2024-07-14,6.569845
2024-07-15,6.4537816
2024-07-16,6.4861298
2024-07-17,6.213378
2024-07-18,6.010268
2024-07-19,5.8590097
2024-07-20,5.909372
2024-07-21,6.1373506
2024-07-22,6.151977
2024-07-23,6.135641
2024-07-24,6.146317
2024-07-25,6.218777
2024-07-26,6.094676
2024-07-27,6.1343055
2024-07-28,6.2400784
2024-07-29,6.2118053
2024-07-30,6.107795
2024-07-31,6.2675133
2024-08-01,6.062943
2024-08-02,6.015297
2024-08-03,5.9712996
2024-08-04,5.988295
2024-08-05,6.2003307
2024-08-06,6.2390656
2024-08-07,6.3233714
2024-08-08,6.0678697
2024-08-09,6.34026
2024-08-10,6.253309
2024-08-11,6.1838064
2024-08-12,6.290139
2024-08-13,6.2240467
2024-08-14,6.5838003
2024-08-15,6.366827
2024-08-16,6.0292215
2024-08-17,5.8748016
2024-08-18,5.8652735
2024-08-19,5.8107204
2024-08-20,6.035544
2024-08-21,6.063601
2024-08-22,6.110445
2024-08-23,5.9852633
2024-08-24,5.9414887
2024-08-25,6.010294
2024-08-26,5.934473
2024-08-27,6.1145186
2024-08-28,6.0753207
2024-08-29,6.089731
2024-08-30,5.706004
2024-08-31,5.8365965
2024-09-01,6.332466
2024-09-02,6.5250416
2024-09-03,6.6145844
2024-09-04,6.4289937
2024-09-05,6.6080737
2024-09-06,6.646664
2024-09-07,6.7825985
2024-09-08,6.410231
2024-09-09,6.8161783
2024-09-10,6.6555734
2024-09-11,6.490489
2024-09-12,6.6744637
2024-09-13,6.608714
2024-09-14,6.932957
2024-09-15,6.6396174
2024-09-16,6.601287
2024-09-17,6.647167
2024-09-18,6.4839005
2024-09-19,6.429355
2024-09-20,6.3993425
2024-09-21,6.543581
2024-09-22,6.3799677
2024-09-23,6.526283
2024-09-24,6.6556234
2024-09-25,6.502982
2024-09-26,6.5361743
